Sample_Number,Timestamp(s),Min_Value(dB¦ÌV),Max_Value(dB¦ÌV),Average_Value(dB¦ÌV)
1,2.030,3.20,12.18,8.06
2,4.062,3.20,12.18,8.07
3,6.107,3.57,12.18,8.07
4,8.139,3.57,12.18,8.08
5,10.141,3.57,12.18,8.09
6,12.202,3.57,12.18,8.10
7,14.235,3.57,12.18,8.10
8,16.235,3.57,12.18,8.11
9,18.283,3.57,12.18,8.11
10,20.287,3.57,12.18,8.11
11,22.306,3.57,12.18,8.12
12,24.321,3.57,12.18,8.12
13,26.325,3.68,12.18,8.13
14,28.357,3.68,12.18,8.14
15,30.405,3.68,12.18,8.14
16,32.407,3.68,12.18,8.15
17,34.454,3.68,12.18,8.15
18,36.500,3.68,12.18,8.16
19,38.545,3.68,12.18,8.16
20,40.547,3.68,12.18,8.17
21,42.550,3.68,12.18,8.17
22,44.595,3.68,12.18,8.18
23,46.629,3.68,12.18,8.19
24,48.645,3.68,12.18,8.19
25,50.707,3.68,12.18,8.20
26,52.708,3.68,12.18,8.20
27,54.713,3.68,12.18,8.21
28,56.718,3.68,12.18,8.21
29,58.750,3.68,12.18,8.22
30,60.765,3.68,12.18,8.22
31,62.767,3.68,12.18,8.23
32,64.783,3.68,12.18,8.23
33,66.843,3.68,12.18,8.24
34,68.888,3.68,12.18,8.24
35,70.947,3.68,12.18,8.25
36,72.951,3.68,12.18,8.25
37,74.998,3.68,12.18,8.26
38,77.001,3.68,12.18,8.26
39,79.034,3.68,12.18,8.27
40,81.035,3.68,12.18,8.27
41,83.053,3.68,12.18,8.27
42,85.070,3.68,12.18,8.28
43,87.098,3.68,12.18,8.28
44,89.142,3.68,12.18,8.28
45,91.144,4.00,12.18,8.29
46,93.176,4.00,12.18,8.29
47,95.208,4.00,12.18,8.30
48,97.225,4.00,12.18,8.30
49,99.271,4.00,12.18,8.30
50,101.331,4.00,12.18,8.31
51,103.333,4.00,12.18,8.31
52,105.364,4.00,12.18,8.31
53,107.393,4.00,12.18,8.32
54,109.395,4.00,12.18,8.32
55,111.425,4.00,12.18,8.32
56,113.455,4.00,12.18,8.33
57,115.468,4.00,12.18,8.33
58,117.469,4.05,12.18,8.33
59,119.502,4.05,12.18,8.34
60,121.517,4.05,12.18,8.34
61,123.564,4.05,12.18,8.34
62,125.576,4.05,12.18,8.34
63,127.593,4.05,12.18,8.35
64,129.642,4.05,12.18,8.35
65,131.657,4.05,12.18,8.36
66,133.673,4.05,12.18,8.36
67,135.704,4.05,12.18,8.36
68,137.739,4.05,12.18,8.37
69,139.785,4.05,12.18,8.37
70,141.816,4.05,12.18,8.38
71,143.877,4.05,12.18,8.38
72,145.926,4.05,12.18,8.39
73,147.928,4.05,12.18,8.39
74,149.978,4.05,12.18,8.40
75,152.011,4.05,12.18,8.40
76,154.025,4.05,12.18,8.40
77,156.055,4.05,12.18,8.41
78,158.070,4.05,12.18,8.41
79,160.130,4.05,12.18,8.41
80,162.144,4.05,12.18,8.42
81,164.145,4.05,12.18,8.42
82,166.173,4.05,12.18,8.42
83,168.204,4.05,12.18,8.43
84,170.264,4.05,12.18,8.43
85,172.308,4.05,12.18,8.43
86,174.368,4.05,12.18,8.44
87,176.397,4.05,12.18,8.44
88,178.429,4.05,12.18,8.44
89,180.444,4.05,12.18,8.45
90,182.491,4.05,12.18,8.45
91,184.519,4.05,12.18,8.45
92,186.578,4.05,12.18,8.46
93,188.613,4.05,12.18,8.46
94,190.675,4.05,12.18,8.46
95,192.691,4.05,12.18,8.46
96,194.693,4.05,12.18,8.47
97,196.697,4.05,12.18,8.47
98,198.713,4.05,12.18,8.47
99,200.759,4.05,12.18,8.47
100,202.803,4.05,12.18,8.48
101,204.850,4.05,12.18,8.48
102,206.868,4.05,12.18,8.48
103,208.903,4.05,12.18,8.48
104,210.932,4.05,12.18,8.49
105,212.964,4.05,12.18,8.49
106,215.009,4.05,12.18,8.49
107,217.013,4.05,12.18,8.50
108,219.062,4.05,12.18,8.50
109,221.089,4.05,12.18,8.50
110,223.104,4.05,12.18,8.51
111,225.118,4.27,12.18,8.51
112,227.119,4.27,12.18,8.51
113,229.131,4.27,12.18,8.51
114,231.132,4.27,12.18,8.52
115,233.166,4.27,12.18,8.52
116,235.210,4.27,12.18,8.52
117,237.268,4.27,12.18,8.53
118,239.281,4.27,12.18,8.53
119,241.310,4.27,12.18,8.53
120,243.323,4.27,12.18,8.53
121,245.383,4.27,12.18,8.54
122,247.443,4.27,12.18,8.54
123,249.444,4.27,12.18,8.54
124,251.462,4.27,12.18,8.54
125,253.509,4.27,12.18,8.54
126,255.524,4.27,12.18,8.54
127,257.584,4.27,12.18,8.55
128,259.601,4.27,12.18,8.55
129,261.646,4.27,12.18,8.55
130,263.647,4.27,12.18,8.55
131,265.650,4.27,12.18,8.56
132,267.684,4.27,12.18,8.56
133,269.703,4.27,12.18,8.56
134,271.716,4.27,12.18,8.56
135,273.735,4.27,12.18,8.57
136,275.794,4.27,12.18,8.57
137,277.809,4.27,12.18,8.57
138,279.837,4.27,12.18,8.58
139,281.881,4.27,12.18,8.58
140,283.900,4.27,12.18,8.58
141,285.914,4.34,12.18,8.59
142,287.943,4.34,12.18,8.59
143,289.989,4.34,12.18,8.59
144,292.021,4.34,12.18,8.59
145,294.064,4.34,12.18,8.59
146,296.080,4.34,12.18,8.60
147,298.114,4.34,12.18,8.60
