Frequency (Hz),Amplitude (dB¦ÌV)
150000.0,19.5640409
169900.0,17.61219
189800.0,16.5698392
209700.0,14.4282529
229600.0,14.3180539
249500.0,14.6098096
269400.0,14.8134381
289300.0,14.7926404
309200.0,14.0566022
329100.0,13.0526578
349000.0,14.0126416
368900.0,11.7587125
388800.0,12.3837735
408700.0,12.2047956
428600.0,12.3113401
448500.0,10.9994123
468400.0,13.41172
488300.0,11.8326642
508200.0,10.5266721
528100.0,12.2768247
548000.0,11.7655484
567900.0,11.3391797
587800.0,11.0045468
607700.0,9.1807782
627600.0,10.7614972
647500.0,9.8704755
667400.0,12.0583264
687300.0,10.9624707
707200.0,11.2350537
727100.0,10.2809598
747000.0,9.5208432
766900.0,10.2291715
786800.0,10.4148709
806700.0,10.1571347
826600.0,8.9521634
846500.0,9.2299955
866400.0,8.5607831
886300.0,9.4250333
906200.0,8.4643399
926100.0,8.4617307
946000.0,6.4916532
965900.0,7.5950849
985800.0,8.7602384
1005700.0,8.83374
1025600.0,7.1909101
1045500.0,7.2010648
1065400.0,5.9631726
1085300.0,7.6941754
1105200.0,5.603378
1125100.0,8.9664914
1145000.0,6.6116788
1164900.0,4.6417386
1184800.0,3.4803159
1204700.0,4.7310941
1224600.0,4.7046201
1244500.0,3.9324948
1264400.0,5.7404554
1284300.0,4.302139
1304200.0,2.8374478
1324100.0,4.7538678
1344000.0,2.5360105
1363900.0,2.7095563
1383800.0,3.8943402
1403700.0,2.3853223
1423600.0,4.6064603
1443500.0,4.7903211
1463400.0,1.2961118
1483300.0,1.8035123
1503200.0,1.8092343
1523100.0,1.2212674
1543000.0,2.7785947
1562900.0,1.6317289
1582800.0,2.5643689
1602700.0,1.7226865
1622600.0,2.637222
1642500.0,0.8356015
1662400.0,0.5984113
1682300.0,1.3592145
1702200.0,3.2965543
1722100.0,2.5976026
1742000.0,1.814758
1761900.0,0.9484632
1781800.0,0.5689542
1801700.0,2.2994001
1821600.0,-0.3051379
1841500.0,2.965019
1861400.0,1.6407849
1881300.0,0.8287503
1901200.0,0.7714688
1921100.0,1.0566098
1941000.0,0.2919767
1960900.0,1.1387021
1980800.0,-0.0549777
2000700.0,1.0987241
2020600.0,-0.9512561
2040500.0,1.7089078
2060400.0,-0.2693103
2080300.0,1.3638608
2100200.0,-2.0533984
2120100.0,-0.4463351
2140000.0,-0.1981891
2159900.0,-0.99733
2179800.0,-0.3778231
2199700.0,0.5122907
2219600.0,-0.8720172
2239500.0,0.1588513
2259400.0,1.1065213
2279300.0,1.6073377
2299200.0,-1.1015323
2319100.0,-1.3952563
2339000.0,-0.6022113
2358900.0,-1.1654132
2378800.0,-0.9265445
2398700.0,0.0880506
2418600.0,1.9672849
2438500.0,0.2761991
2458400.0,2.0922544
2478300.0,0.5163495
2498200.0,1.0222013
2518100.0,1.6455075
2538000.0,-1.252312
2557900.0,0.4686887
2577800.0,0.1783139
2597700.0,-0.9985507
2617600.0,1.3634488
2637500.0,-1.0594867
2657400.0,-1.2794574
