Frequency (Hz),Amplitude (dBμV)
30000000.0,97.6863172
30485000.0,97.0746228
30970000.0,107.9076306
31455000.0,102.6955793
31940000.0,103.8601834
32425000.0,108.7233655
32910000.0,99.4272
33395000.0,109.8183515
33880000.0,103.6578595
34365000.0,105.2839658
34850000.0,107.8664701
35335000.0,106.057388
35820000.0,110.6675565
36305000.0,102.155174
36790000.0,109.2369535
37275000.0,108.5170362
37760000.0,103.0834882
38245000.0,105.3672101
38730000.0,105.9466016
39215000.0,100.1645505
39700000.0,108.0921399
40185000.0,105.5533979
40670000.0,101.573097
41155000.0,100.6501538
41640000.0,102.9018705
42125000.0,103.9769742
42610000.0,101.0153348
43095000.0,99.9757611
43580000.0,110.9897077
44065000.0,105.4634549
44550000.0,102.9961316
45035000.0,95.53012820000001
45520000.0,101.7595288
46005000.0,106.9533307
46490000.0,103.9096372
46975000.0,110.5091855
47460000.0,107.5506971
47945000.0,100.0810468
48430000.0,103.0083768
48915000.0,107.482063
49400000.0,101.55884520000001
49885000.0,107.7870938
50370000.0,107.1218183
50855000.0,103.5800244
51340000.0,105.6079862
51825000.0,105.7297742
52310000.0,109.0825421
52795000.0,98.0215985
53280000.0,102.1249845
53765000.0,99.7463376
54250000.0,104.8066632
54735000.0,102.9045255
55220000.0,110.1072309
55705000.0,104.98332189999999
56190000.0,98.7838666
56675000.0,98.8777616
57160000.0,102.7957914
57645000.0,107.6506879
58130000.0,106.0450437
58615000.0,105.93943
59100000.0,95.5230481
59585000.0,108.0587766
60070000.0,106.1965787
60555000.0,106.4837491
61040000.0,106.6693112
61525000.0,103.8017499
62010000.0,110.3378904
62495000.0,98.8169934
62980000.0,105.6047589
63465000.0,103.0324399
63950000.0,104.332031
64435000.0,106.4325864
64920000.0,101.944534
65405000.0,105.8342511
65890000.0,102.8309552
66375000.0,107.0806195
66860000.0,104.5532529
67345000.0,101.0633313
67830000.0,108.6488721
68315000.0,96.349426
68800000.0,107.4841611
69285000.0,109.1122052
69770000.0,102.1796949
70255000.0,104.1381909
70740000.0,109.8394925
71225000.0,105.0211408
71710000.0,105.5591046
72195000.0,106.3293988
72680000.0,105.2599332
73165000.0,102.7120359
73650000.0,104.9456861
74135000.0,106.6130597
74620000.0,101.6230695
75105000.0,106.6132199
75590000.0,108.1618039
76075000.0,103.9575956
76560000.0,96.70120969999999
77045000.0,108.6296994
77530000.0,108.1744458
78015000.0,101.465492
78500000.0,109.5832059
78985000.0,110.4572751
79470000.0,105.1085431
79955000.0,105.5876462
80440000.0,95.2389524
80925000.0,105.5553128
81410000.0,108.4078061
81895000.0,109.5146558
82380000.0,108.8469159
82865000.0,105.4908216
83350000.0,96.8283307
83835000.0,104.1567456
84320000.0,103.1686856
84805000.0,108.7196653
85290000.0,103.7310788
85775000.0,106.2319104
86260000.0,105.5855558
86745000.0,103.4530713
87230000.0,108.7748181
87715000.0,100.9029309
88200000.0,102.2305829
88685000.0,108.7972409
89170000.0,109.8782956
89655000.0,106.2255017
90140000.0,105.2459638
90625000.0,103.2818219
91110000.0,105.5503232
91595000.0,89.5546109
92080000.0,104.4999158
92565000.0,105.6060025
93050000.0,102.624397
93535000.0,102.5745847
94020000.0,101.3656385
94505000.0,104.2354657
94990000.0,105.4753415
95475000.0,105.7207181
95960000.0,109.1463239
96445000.0,111.6845853
96930000.0,100.4892041
97415000.0,105.5249402
97900000.0,102.9659879
98385000.0,107.3155362
98870000.0,105.1129834
99355000.0,100.5487592
99840000.0,101.6065366
100325000.0,102.9441526
100810000.0,107.4741513
101295000.0,105.2867581
101780000.0,107.3547818
102265000.0,99.6933438
102750000.0,102.1046979
103235000.0,107.2994153
103720000.0,103.3803556
104205000.0,104.8465802
104690000.0,104.5397489
105175000.0,102.3861768
105660000.0,104.4457013
106145000.0,109.1362073
106630000.0,107.6333387
107115000.0,104.0000074
107600000.0,103.3573987
108085000.0,108.6816709
108570000.0,98.920181
109055000.0,109.09465
109540000.0,106.6788251
110025000.0,105.0841672
110510000.0,101.3028409
110995000.0,107.0049894
111480000.0,108.6734616
111965000.0,109.1336591
112450000.0,107.73336
112935000.0,104.5131681
113420000.0,95.9950406
113905000.0,108.5554196
114390000.0,109.5617826
114875000.0,106.6730878
115360000.0,108.520065
115845000.0,105.8147123
116330000.0,96.9291303
116815000.0,106.5473554
117300000.0,99.9108655
117785000.0,108.7931974
118270000.0,103.1651151
118755000.0,103.9113233
119240000.0,111.503082
119725000.0,109.2238004
120210000.0,106.0441053
120695000.0,105.8640592
121180000.0,111.7817533
121665000.0,105.6892545
122150000.0,107.4349897
122635000.0,107.5988004
123120000.0,107.2354734
123605000.0,106.5812146
124090000.0,109.3933408
124575000.0,110.6915891
125060000.0,104.1955945
125545000.0,103.3940274
126030000.0,109.9191815
126515000.0,99.4687497
127000000.0,107.4217069
127485000.0,104.2694623
127970000.0,108.7588803
128455000.0,111.7267377
128940000.0,106.5007245
129425000.0,106.5571057
129910000.0,101.412132
130395000.0,107.2576673
130880000.0,104.6437451
131365000.0,103.1243741
131850000.0,108.0002515
132335000.0,97.9052579
132820000.0,104.2096173
133305000.0,108.1410138
133790000.0,102.6679532
134275000.0,108.8686978
134760000.0,103.2555768
135245000.0,106.2761228
135730000.0,107.1303479
136215000.0,107.3113858
136700000.0,106.4122312
137185000.0,107.248039
137670000.0,102.302696
138155000.0,100.1861264
138640000.0,101.6319272
139125000.0,104.2401425
139610000.0,104.1726911
140095000.0,111.5360715
140580000.0,100.6968457
141065000.0,93.0032041
141550000.0,99.2308957
142035000.0,104.1766278
142520000.0,102.4513318
143005000.0,104.5069501
143490000.0,112.0995862
143975000.0,107.3405912
144460000.0,105.8747098
144945000.0,110.1787488
145430000.0,106.6292417
145915000.0,109.1747205
146400000.0,107.2413022
146885000.0,99.7231671
147370000.0,104.0916745
147855000.0,107.1421582
148340000.0,106.2224424
148825000.0,108.8850324
149310000.0,101.979408
149795000.0,106.4376752
150280000.0,101.7922437
150765000.0,104.2463071
151250000.0,109.1766431
151735000.0,110.8449094
152220000.0,110.9542844
152705000.0,106.7096784
153190000.0,106.8230741
153675000.0,106.5945813
154160000.0,103.3023297
154645000.0,96.8801953
155130000.0,100.5156247
155615000.0,102.0366132
156100000.0,104.6808469
156585000.0,105.6969754
157070000.0,99.9680936
157555000.0,110.563339
158040000.0,105.7506635
158525000.0,102.3000409
159010000.0,105.8508527
159495000.0,110.8443982
159980000.0,101.0568998
160465000.0,100.7520673
160950000.0,109.6198957
161435000.0,106.0711438
161920000.0,103.020004
162405000.0,106.0400846
162890000.0,107.4139859
163375000.0,108.2845456
163860000.0,104.2849271
164345000.0,104.9803846
164830000.0,104.6203076
165315000.0,110.3787763
165800000.0,105.5033643
166285000.0,104.6664121
166770000.0,101.6625287
167255000.0,107.3083493
167740000.0,111.1921918
168225000.0,104.0345456
168710000.0,105.5634076
169195000.0,106.5773618
169680000.0,110.5120237
170165000.0,99.5989148
170650000.0,103.8931195
171135000.0,102.775604
171620000.0,103.7869489
172105000.0,97.7982633
172590000.0,108.3832471
173075000.0,110.184242
173560000.0,108.0081555
174045000.0,100.86527219999999
174530000.0,107.2188871
175015000.0,106.2339017
175500000.0,109.863899
175985000.0,102.6523664
176470000.0,110.8842389
176955000.0,105.0979917
177440000.0,109.4699704
177925000.0,108.3599546
178410000.0,110.5111997
178895000.0,104.722511
179380000.0,105.9628064
179865000.0,105.8550565
180350000.0,105.6746137
180835000.0,108.2742383
181320000.0,108.9407804
181805000.0,109.1191404
182290000.0,105.1070554
182775000.0,102.7113034
183260000.0,108.2385327
183745000.0,106.8731839
184230000.0,107.1842343
184715000.0,107.9931943
185200000.0,105.2590711
185685000.0,108.5058591
186170000.0,104.4499051
186655000.0,107.0010068
187140000.0,109.1038968
187625000.0,105.0342099
188110000.0,110.825485
188595000.0,102.3155667
189080000.0,107.0206601
189565000.0,105.4542615
190050000.0,105.9278409
190535000.0,105.8361737
191020000.0,108.3827817
191505000.0,110.040466
191990000.0,101.2179868
192475000.0,107.0599744
192960000.0,105.5100858
193445000.0,108.0094831
193930000.0,101.2954709
194415000.0,106.5634076
194900000.0,109.0998456
195385000.0,108.14138
195870000.0,106.8844373
196355000.0,108.5548322
196840000.0,110.0120771
197325000.0,103.9587628
197810000.0,110.01361059999999
198295000.0,109.316673
198780000.0,109.0715711
