Frequency (Hz),Amplitude (dBμV)
30000000.0,2.0451123
30485000.0,0.4970014
30970000.0,1.6697919
31455000.0,-1.7587588
31940000.0,-2.3694766
32425000.0,-2.2853244
32910000.0,-2.4128497
33395000.0,-1.3261187
33880000.0,1.3318174
34365000.0,-2.2909015
34850000.0,-3.1729129
35335000.0,-3.7247699
35820000.0,0.3539655
36305000.0,0.8930204
36790000.0,0.5731275
37275000.0,0.8973844
37760000.0,-4.4329379
38245000.0,0.3712842
38730000.0,-2.4088748
39215000.0,-3.4622653
39700000.0,-2.2137454
40185000.0,-1.8899234
40670000.0,-2.1253131
41155000.0,-8.3268359
41640000.0,-0.2533801
42125000.0,0.1289746
42610000.0,1.7614743
43095000.0,-14.3729632
43580000.0,-11.0246661
44065000.0,-6.0967944
44550000.0,-2.6316531
45035000.0,-2.1523669
45520000.0,-3.8656085
46005000.0,0.0813596
46490000.0,0.5261151
46975000.0,0.3439633
47460000.0,-2.8063052
47945000.0,-3.0999148
48430000.0,-4.4747317
48915000.0,1.7649457
49400000.0,3.9042813
49885000.0,-5.3893206
50370000.0,-3.4059527
50855000.0,-5.3065875
51340000.0,-0.7862018
51825000.0,-6.8075335
52310000.0,0.7649381
52795000.0,-4.1192859
53280000.0,-1.5857089
53765000.0,-0.2325366
54250000.0,-2.8975222
54735000.0,-1.7172549
55220000.0,-0.6025088
55705000.0,-3.2609942
56190000.0,-0.3004001
56675000.0,-0.6107486
57160000.0,1.2132795
57645000.0,-8.3860171
58130000.0,-1.8745883
58615000.0,0.5138318
59100000.0,-1.5623706
59585000.0,1.0786512
60070000.0,0.3733823
60555000.0,0.6687696
61040000.0,1.2531049
61525000.0,-0.4162448
62010000.0,-6.2746203
62495000.0,-4.5623858
62980000.0,1.7815702
63465000.0,0.922714
63950000.0,-0.5619586
64435000.0,-0.226166
64920000.0,0.7105863
65405000.0,-1.8003695
65890000.0,-7.2825168
66375000.0,0.3672559
66860000.0,-3.0051883
67345000.0,2.8823011
67830000.0,-4.3937228
68315000.0,-2.8481524
68800000.0,1.568588
69285000.0,-3.4017566
69770000.0,-2.7542956
70255000.0,-5.5409167
70740000.0,1.7583463
71225000.0,-0.4880984
71710000.0,-4.219414
72195000.0,-4.9561694
72680000.0,-9.9398044
73165000.0,-1.5260013
73650000.0,-3.0843432
74135000.0,-3.4281619
74620000.0,4.2366178
75105000.0,-0.7581637
75590000.0,-0.409096
76075000.0,1.2482144
76560000.0,0.3714749
77045000.0,-0.7191165
77530000.0,-0.6171649
78015000.0,-7.4682773
78500000.0,-6.0080417
78985000.0,2.1349103
79470000.0,3.0435331
79955000.0,1.4965055
80440000.0,4.0461576
80925000.0,-0.9908297
81410000.0,2.6710813
81895000.0,-2.0668643
82380000.0,0.9805982
82865000.0,-3.5189288
83350000.0,-5.2934726
83835000.0,-3.3716205
84320000.0,-1.8258899
84805000.0,2.7561872
85290000.0,-0.3116458
85775000.0,-5.19117
86260000.0,-3.1583178
86745000.0,-2.1556552
87230000.0,1.0170743
87715000.0,-2.4584201
88200000.0,0.4341352
88685000.0,3.0489041
89170000.0,0.7012097
89655000.0,-0.7668155
90140000.0,0.4856183
90625000.0,-2.0042804
91110000.0,1.5449063
91595000.0,-2.2624743
92080000.0,-1.9997943
92565000.0,-4.2276004
93050000.0,2.0969464
93535000.0,-0.6590426
94020000.0,-4.3280414
94505000.0,3.1413495
94990000.0,3.4581067
95475000.0,-4.5997775
95960000.0,2.186752
96445000.0,5.6720502
96930000.0,0.9069821
97415000.0,-6.8514865
97900000.0,-10.3227923
98385000.0,1.0809171
98870000.0,0.5289914
99355000.0,-0.3359149
99840000.0,-5.9606784
100325000.0,-0.1499179
100810000.0,-3.0731738
101295000.0,-11.3877566
101780000.0,3.9912183
102265000.0,1.313461
102750000.0,-4.6172183
103235000.0,-0.6119769
103720000.0,-4.2448581
104205000.0,-7.13044
104690000.0,1.260719
105175000.0,1.0056607
105660000.0,3.9814756
106145000.0,1.6536939
106630000.0,-1.732796
107115000.0,-2.1110156
107600000.0,-5.4023288
108085000.0,1.0108029
108570000.0,-0.8793414
109055000.0,3.4303434
109540000.0,3.3579328
110025000.0,-3.7709887
110510000.0,-7.3053134
110995000.0,0.3496778
111480000.0,-6.7849276
111965000.0,-2.2983554
112450000.0,-2.1976092
112935000.0,-14.8525088
113420000.0,-5.9866259
113905000.0,-1.9757312
114390000.0,1.1767423
114875000.0,0.4695508
115360000.0,-3.749657
115845000.0,-7.3088
116330000.0,-9.8144839
116815000.0,3.6238477
117300000.0,-0.7849658
117785000.0,-1.7822345
118270000.0,-2.6324847
118755000.0,-4.3353656
119240000.0,3.8288648
119725000.0,-1.6739276
120210000.0,-1.3546145
120695000.0,-1.367081
121180000.0,2.0341184
121665000.0,-3.3880542
122150000.0,-6.2166598
122635000.0,-4.148865
123120000.0,-4.4721377
123605000.0,0.3287732
124090000.0,-0.1398318
124575000.0,-6.3941882
125060000.0,1.9094083
125545000.0,-2.9500277
126030000.0,-4.1681598
126515000.0,-3.7380221
127000000.0,1.360687
127485000.0,2.6060559
127970000.0,-0.2327502
128455000.0,0.4209134
128940000.0,4.9743878
129425000.0,-7.1011584
129910000.0,-4.1697009
130395000.0,2.4857328
130880000.0,1.3585126
131365000.0,0.0051496
131850000.0,-0.6749804
132335000.0,2.3167035
132820000.0,-7.9261935
133305000.0,4.1760327
133790000.0,4.3590696
134275000.0,2.3530042
134760000.0,-0.3494571
135245000.0,3.6037061
135730000.0,3.7348096
136215000.0,-4.7905581
136700000.0,1.9856946
137185000.0,2.905174
137670000.0,3.3241346
138155000.0,1.0300824
138640000.0,0.0540082
139125000.0,-6.5807727
139610000.0,1.1468503
140095000.0,2.9281003
140580000.0,-1.7107242
141065000.0,-1.3357852
141550000.0,4.7859571
142035000.0,-1.9444812
142520000.0,1.3456342
143005000.0,4.0779264
143490000.0,-2.2068026
143975000.0,0.2176282
144460000.0,2.2187955
144945000.0,3.9729154
145430000.0,-0.5483859
145915000.0,-1.0605624
146400000.0,2.3618466
146885000.0,2.8145978
147370000.0,-14.497124
147855000.0,-6.3728106
148340000.0,0.9278943
148825000.0,-3.2325747
149310000.0,0.4449613
149795000.0,2.5409848
150280000.0,-8.0127948
150765000.0,1.9973294
151250000.0,0.2277829
151735000.0,3.0403974
152220000.0,-5.845177
152705000.0,1.4176175
153190000.0,1.0176465
153675000.0,-12.7711108
154160000.0,-1.1692355
154645000.0,0.3718106
155130000.0,3.851135
155615000.0,-10.3478244
156100000.0,1.9140775
156585000.0,-0.7222979
157070000.0,5.1264875
157555000.0,-1.0203784
158040000.0,-1.048981
158525000.0,-4.885979
159010000.0,-6.1297763
159495000.0,-0.7185519
159980000.0,1.6615979
160465000.0,-4.3892672
160950000.0,-5.1925891
161435000.0,-0.2155154
161920000.0,-6.9714969
162405000.0,4.875549
162890000.0,-4.9989245
163375000.0,-3.1425097
163860000.0,-1.0605777
164345000.0,2.6377179
164830000.0,-1.8566516
165315000.0,0.3921506
165800000.0,1.7810742
166285000.0,-2.1748355
166770000.0,-2.3933261
167255000.0,-2.5606768
167740000.0,1.1922376
168225000.0,1.7020566
168710000.0,0.2313687
169195000.0,-6.519089
